# on-the-record numbered transcript, version 1
# source: accountant-yearend-call.txt | lines: 90 | format: L#### | mark | speaker | text
L0001 | - | (none) | Year-end review call - Hartley Joinery Ltd
L0002 | - | (none) | Recorded on 14 March 2026
L0003 | - | (none) | Present - Priya Nair, Tom Hartley, Sarah Lomax
L0004 | - | Priya Nair | Morning both, thanks for joining, um, this is the year-end review for the twelve months to 31 December twenty twenty-five.
L0005 | - | Tom Hartley | Morning Priya, morning Sarah.
L0006 | - | Sarah Lomax | Morning.
L0007 | - | Priya Nair | So I've been through what Sarah's sent over and it's all in zero, which is great, makes life a lot easier.
L0008 | - | Tom Hartley | Yeah we moved everything across in the summer.
L0009 | - | Priya Nair | Turnover for the year came out at about 85k.
L0010 | - | Tom Hartley | Is that up on last year?
L0011 | - | Priya Nair | It is, last year was closer to seventy, so a decent jump.
L0012 | - | Sarah Lomax | A lot of that's the two kitchen fit-outs in the autumn.
L0013 | - | Priya Nair | So just to confirm the figure for the file, that's £85,000, give or take.
L0014 | - | Tom Hartley | Sounds about right.
L0015 | - | Priya Nair | On the purchases side, the biggest supplier by far is Halden Timber.
L0016 | - | Tom Hartley | Yeah they do most of our hardwood now.
L0017 | - | Priya Nair | I noticed one invoice in there from, um, Haldane Timber, is that the same company?
L0018 | - | Sarah Lomax | Yeah same one, I think that's just how it printed on the statement.
L0019 | - | Priya Nair | Okay, I'll keep it under Halden Timber in the notes.
L0020 | - | Tom Hartley | [crosstalk]
L0021 | - | Sarah Lomax | Sorry, go on.
L0022 | - | Tom Hartley | I was just going to say the stove installs are the other big one this year.
L0023 | - | Priya Nair | Yes, let's come to those. On the VAT side you're still under the threshold.
L0024 | - | Tom Hartley | If we registered for VAT we'd have to charge twenty percent on everything though, right?
L0025 | - | Priya Nair | Right, and most of your customers are homeowners so they'd feel that.
L0026 | - | Tom Hartley | Yeah, best avoided for now then.
L0027 | - | Priya Nair | Agreed. On the stove installs specifically, I want to check the VAT treatment.
L0028 | - | Priya Nair | My first read was that's exempt.
L0029 | - | Priya Nair | Sorry, zero-rated, not exempt, since it's a qualifying energy-saving install.
L0030 | - | Sarah Lomax | I'll flag that on the invoices going forward.
L0031 | - | Priya Nair | Good, that helps keep the file clean. As long as it's all sitting in zero properly coded, I can pull the report straight off it.
L0032 | - | Tom Hartley | [inaudible] about the stove supplier invoice, did that come through?
L0033 | - | Priya Nair | I don't think I've got that one yet.
L0034 | - | Priya Nair | Tom, can you dig out the invoice from the stove supplier?
L0035 | - | Tom Hartley | So the joinery side, we took on Dave as a subcontractor in March.
L0036 | - | Priya Nair | Okay, we'll need his UTR for the return, but let's move on to the van.
L0037 | - | Priya Nair | Could you check whether the van was bought on finance?
L0038 | - | Tom Hartley | The workshop roof needed doing as well this year, that ate into things a bit.
L0039 | - | Priya Nair | Right, we'll pick the roof cost up separately in a minute. Let's talk mileage first.
L0040 | - | Sarah Lomax | Tom did 4,200 miles on the log for the year.
L0041 | - | Priya Nair | That's a good level of detail to have.
L0042 | - | Sarah Lomax | I'll try to get the mileage log over by the end of next week, it's not quite finished.
L0043 | - | Priya Nair | That's fine, no rush on that one specifically.
L0044 | - | Priya Nair | Can you send me the payroll summary?
L0045 | - | Sarah Lomax | Yes, I'll do that today.
L0046 | - | Priya Nair | Perfect, that's one of the last pieces I need.
L0047 | - | Tom Hartley | Does the roof count as a repair or an improvement for tax?
L0048 | - | Sarah Lomax | While we're on the roof, I should say the insurance renewal came in higher this year too.
